"Id","658342e59700bdb5e7119b4b","658342e59700bdb5e7119b45","658342e59700bdb5e7119b47","658342e59700bdb5e7119b49","658c8e423bcbd8a985918ad0"
"Timestamp","dayt13/Digital Test Bed/(B)Location (1A36F8)/JTS File Source/Battery Voltage","dayt13/Digital Test Bed/(B)Location (1A36F8)/JTS File Source/Crack Displacement","dayt13/Digital Test Bed/(B)Location (1A36F8)/JTS File Source/Crack.X","dayt13/Digital Test Bed/(B)Location (1A36F8)/JTS File Source/Crack.Y","dayt13/Digital Test Bed/(B)Location (1A36F8)/JTS File Source/RSSI"
"Units","","","","",""
2023-12-24 00:59:45,3.3,-10.4,-1,-29,
2023-12-24 01:14:45,,-10.4,-1.1,-29,
2023-12-24 01:29:45,3.3,-10.4,-1.1,-29,
2023-12-24 01:44:44,,-10.4,-1,-29,
2023-12-24 02:14:44,,-10.4,-1,-29,
2023-12-24 02:29:44,3.3,-10.4,-1.1,-29,
2023-12-24 03:14:43,,-10.4,-1.1,-29,
2023-12-24 03:29:43,3.3,-10.4,-1.1,-29,
2023-12-24 03:59:43,3.3,-10.4,-1.1,-29,
2023-12-24 04:14:43,,-10.4,-1,-29,
2023-12-24 04:29:43,3.3,-10.4,-1.1,-29,
2023-12-24 04:44:43,,-10.4,-1.1,-29,
2023-12-24 04:59:42,3.3,-10.4,-1.1,-29,
2023-12-24 05:14:42,,-10.4,-1.1,-29,
2023-12-24 05:29:42,3.3,-10.4,-1.1,-29,
2023-12-24 05:59:42,3.3,-10.4,-1.1,-29,
2023-12-24 06:14:42,,-10.4,-1.1,-29,
2023-12-24 06:29:42,3.3,-10.4,-1,-29,
2023-12-24 06:44:41,,-10.4,-1.1,-29,
2023-12-24 06:59:41,3.3,-10.4,-1.1,-29,
2023-12-24 07:29:41,3.3,-10.4,-1.1,-29,
2023-12-24 08:44:40,,-10.4,-1.1,-29,
2023-12-24 08:59:40,3.3,-10.4,-1.1,-29,
2023-12-24 09:14:40,,-10.4,-1.1,-29,
2023-12-24 09:44:40,,-10.4,-1.1,-29,
2023-12-24 10:29:39,3.3,-10.4,-1.1,-29,
2023-12-24 10:44:39,,-10.4,-1.1,-29,
2023-12-24 10:59:39,3.3,-10.4,-1.1,-29,
2023-12-24 11:29:39,3.3,-10.3,-1.1,-29,
2023-12-24 11:59:38,3.3,-10.4,-1.1,-29,
2023-12-24 12:59:38,3.3,-10.3,-1.1,-29,
2023-12-24 13:29:37,3.3,-10.4,-1.1,-29,
2023-12-24 13:44:37,,-10.3,-1.1,-29,
2023-12-24 14:14:37,,-10.3,-1.1,-29,
2023-12-24 14:29:37,3.3,-10.4,-1.1,-29,
2023-12-24 14:59:37,3.3,-10.3,-1.1,-29,
2023-12-24 15:29:36,3.3,-10.3,-1.1,-29,
2023-12-24 15:59:36,3.3,-10.3,-1.1,-29,
2023-12-24 16:14:36,,-10.3,-1.1,-29,
2023-12-24 16:44:36,,-10.3,-1,-29,
2023-12-24 17:44:35,,-10.3,-1.1,-29,
2023-12-24 17:59:35,3.3,-10.3,-1.1,-29,
2023-12-24 18:29:34,3.3,-10.3,-1.1,-29,
2023-12-24 18:44:34,,-10.3,-1,-29,
2023-12-24 19:14:34,,-10.3,-1.1,-29,
2023-12-24 19:44:34,,-10.3,-1.1,-29,
2023-12-24 19:59:34,3.3,-10.3,-1.1,-29,
2023-12-24 20:14:34,,-10.3,-1.1,-29,
2023-12-24 20:29:33,3.3,-10.3,-1.1,-29,
2023-12-24 20:44:33,,-10.3,-1.1,-29,
2023-12-24 21:14:33,,-10.3,-1.1,-29,
2023-12-24 21:44:33,,-10.3,-1.1,-29,
2023-12-24 21:59:32,3.3,-10.3,-1.1,-29,
2023-12-24 22:14:32,,-10.3,-1.1,-29,
2023-12-24 22:59:32,3.3,-10.3,-1.1,-29,
2023-12-24 23:14:32,,-10.3,-1.1,-29,
2023-12-24 23:29:31,3.3,-10.3,-1.1,-29,
2023-12-24 23:44:31,,-10.3,-1.1,-29,
2023-12-24 23:59:31,3.3,-10.4,-1.1,-29,
2023-12-25 00:14:31,,-10.3,-1.1,-29,
2023-12-25 00:44:31,,-10.3,-1.1,-29,
2023-12-25 00:59:31,3.3,-10.3,-1.1,-29,
2023-12-25 01:14:30,,-10.3,-1.1,-29,
2023-12-25 01:29:30,3.3,-10.3,-1.1,-29,
2023-12-25 02:14:30,,-10.3,-1,-29,
2023-12-25 02:29:30,3.3,-10.3,-1.1,-29,
2023-12-25 02:44:30,,-10.3,-1.1,-29,
2023-12-25 02:59:29,3.3,-10.3,-1.1,-29,
2023-12-25 03:29:29,3.3,-10.3,-1.1,-29,
2023-12-25 03:44:29,,-10.3,-1.1,-29,
2023-12-25 03:59:29,3.3,-10.3,-1.1,-29,
2023-12-25 04:44:28,,-10.3,-1.1,-29,
2023-12-25 04:59:28,3.3,-10.3,-1.1,-29,
2023-12-25 05:14:28,,-10.3,-1,-29,
2023-12-25 06:14:27,,-10.3,-1.1,-29,
2023-12-25 06:29:27,3.3,-10.3,-1,-29,
2023-12-25 06:44:27,,-10.3,-1.1,-29,
2023-12-25 06:59:27,3.3,-10.3,-1.1,-29,
2023-12-25 07:14:27,,-10.3,-1.1,-29,
2023-12-25 07:29:27,3.3,-10.3,-1.1,-29,
2023-12-25 07:59:26,3.3,-10.3,-1.1,-29,
2023-12-25 08:14:26,,-10.3,-1.1,-29,
2023-12-25 08:29:26,3.3,-10.3,-1.1,-29,
2023-12-25 08:44:26,,-10.3,-1.1,-29,
2023-12-25 08:59:26,3.3,-10.3,-1.1,-29,
2023-12-25 09:14:26,,-10.3,-1.1,-29,
2023-12-25 09:29:26,3.3,-10.3,-1.1,-29,
2023-12-25 09:59:25,3.3,-10.3,-1.1,-29,
2023-12-25 10:14:26,,-10.3,-1.1,-29,
2023-12-25 10:29:25,3.3,-10.3,-1.1,-29,
2023-12-25 10:44:25,,-10.3,-1.1,-29,
2023-12-25 10:59:25,3.3,-10.3,-1.1,-29,
2023-12-25 11:14:25,,-10.3,-1.1,-29,
2023-12-25 11:44:24,,-10.3,-1.1,-29,
2023-12-25 12:29:24,3.3,-10.3,-1.1,-29,
2023-12-25 12:44:24,,-10.3,-1.1,-29,
2023-12-25 12:59:23,3.3,-10.3,-1,-29,
2023-12-25 13:14:23,,-10.3,-1.1,-29,
2023-12-25 13:29:23,3.3,-10.3,-1.1,-28.9,
